po_ref,vendor_name,product_reference,order_date,difot_date,order_qty,received_qty_before_difot,line_difot_score
PO06573,Warren & Brown Technologies (AKA Warren Brown Tools),1008338-001,2021-11-30 22:38:12,2022-01-04 22:38:12,50.0,50.0,1.0
PO04823,3D Markforge Printing (Internal),1007403-001,2021-02-10 02:17:57,2021-03-17 02:17:57,12.0,12.0,1.0
PO06769,Acktar Ltd,1001761-001,2022-01-04 23:19:45,2022-02-01 23:19:45,10.0,10.0,1.0
PO04377,Grand Venture Technology,1002345-006,2020-11-02 02:28:41,2020-12-14 02:28:41,20.0,20.0,1.0
PO04377,Grand Venture Technology,1002272-008,2020-11-02 02:28:41,2020-12-14 02:28:41,20.0,20.0,1.0
PO04377,Grand Venture Technology,1002347-003,2020-11-02 02:28:41,2020-12-14 02:28:41,20.0,20.0,1.0
PO04377,Grand Venture Technology,1006348-001,2020-11-02 02:28:41,2020-11-10 02:28:41,10.0,10.0,1.0
PO05749,FS,1001552-001,2021-07-29 05:45:52,2021-08-26 05:45:52,100.0,100.0,1.0
PO04575,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1003848-001,2020-12-17 23:17:48,2021-01-28 23:17:48,15.0,0.0,0.0
PO04662,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",1003742-002,2021-01-18 05:03:43,2021-02-22 05:03:43,60.0,60.0,1.0
PO06203,Gorilla Circuits,1007222-002,2021-10-12 02:36:05,2021-11-03 02:36:05,50.0,31.0,0.62
PO06772,"DJ MODEL & TOOLING CO.,LIMITED",1007718-001,2022-01-04 23:46:34,2022-02-15 23:46:34,10.0,10.0,1.0
PO06748,FS,1001008-001,2021-12-29 00:43:00,2022-02-09 00:43:00,50.0,50.0,1.0
PO04160,VXB.com Bearings,1001354-003,2020-08-16 23:58:41,2020-09-20 23:58:41,50.0,50.0,1.0
PO07149,Mektronics Australia Pty Ltd,23008,2022-03-24 01:32:09,2022-04-28 01:32:09,20.0,30.0,1.0
PO06365,Acktar Ltd,1001761-001,2021-11-04 23:03:11,2021-12-02 23:03:11,25.0,25.0,1.0
PO04768,Gorilla Circuits,1001149-014,2021-02-02 04:45:09,2021-03-06 04:45:09,50.0,43.0,0.86
PO05286,Open Wiring Systems,1007374-001,2021-05-14 06:12:09,2021-06-18 06:12:09,10.0,10.0,1.0
PO04306,Acktar Ltd,1003898-003,2020-10-14 00:13:23,2020-11-18 00:13:23,50.0,50.0,1.0
PO07198,Mwave.com.au,24015,2022-04-06 02:10:10,2022-05-11 02:10:10,1.0,1.0,1.0
PO07198,Mwave.com.au,23500,2022-04-06 02:10:10,2022-05-11 02:10:10,1.0,2.0,1.0
PO04304,K-One Industry Sdn Bhd,1001320-003,2020-10-14 00:00:22,2020-11-18 00:00:22,90.0,90.0,1.0
PO04742,Zhongshan Meisu Technology Co Ltd,1007052-002,2021-01-28 23:35:30,2021-03-11 23:35:30,30.0,13.0,0.43333333333333335
PO04009,Grand Venture Technology,1001473-003,2020-07-02 01:37:12,2020-08-13 01:37:12,25.0,25.0,1.0
PO07067,Warren & Brown Technologies (AKA Warren Brown Tools),29000,2022-03-06 23:36:06,2022-04-10 23:36:06,1.0,2.0,1.0
PO04012,Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),1006373-001,2020-07-02 03:52:59,2020-08-06 03:52:59,10.0,10.0,1.0
PO04001,"DJ MODEL & TOOLING CO.,LIMITED",1003968-003,2020-07-02 00:23:43,2020-08-13 00:23:43,10.0,10.0,1.0
PO04001,"DJ MODEL & TOOLING CO.,LIMITED",1003969-003,2020-07-02 00:23:43,2020-08-13 00:23:43,10.0,10.0,1.0
PO04001,"DJ MODEL & TOOLING CO.,LIMITED",1003967-003,2020-07-02 00:23:43,2020-08-13 00:23:43,10.0,10.0,1.0
PO06856,RS Components Pty Ltd,29000,2022-01-24 02:23:54,2022-01-31 02:23:54,25.0,25.0,1.0
PO06798,Sanitiser Solutions Australia,23250,2022-01-12 00:19:35,2022-01-19 00:19:35,1.0,9.0,1.0
PO06741,JC International Resources,23008,2021-12-23 00:24:01,2021-12-30 00:24:01,1.0,0.0,0.0
PO07045,Core Electronics ,24015,2022-03-01 00:34:41,2022-04-05 00:34:41,1.0,1.0,1.0
PO07045,Core Electronics ,29000,2022-03-01 00:34:41,2022-04-05 00:34:41,3.0,5.0,1.0
PO04452,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1003848-001,2020-11-25 22:51:16,2021-01-06 22:51:16,10.0,0.0,0.0
PO04181,K-One Industry Sdn Bhd,1000965-002,2020-08-19 04:14:29,2020-09-30 04:14:29,90.0,90.0,1.0
PO05949,"Mouser Electronics, Inc.",1007236-001,2021-09-07 00:45:11,2021-10-12 00:45:11,10.0,10.0,1.0
PO04527,Open Wiring Systems,1007168-001,2020-12-09 23:58:59,2021-01-13 23:58:59,10.0,10.0,1.0
PO05548,"DJ MODEL & TOOLING CO.,LIMITED",1007717-002,2021-06-30 23:45:15,2021-08-04 23:45:15,10.0,10.0,1.0
PO05473,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",1003742-002,2021-06-21 04:08:05,2021-07-26 04:08:05,71.0,71.0,1.0
PO05473,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",1001343-003,2021-06-21 04:08:05,2021-07-26 04:08:05,50.0,50.0,1.0
PO04666,Open Wiring Systems,1007249-001,2021-01-19 03:25:21,2021-02-23 03:25:21,10.0,9.0,0.9
PO04666,Open Wiring Systems,1007343-001,2021-01-19 03:25:21,2021-02-23 03:25:21,10.0,9.0,0.9
PO04798,Open Wiring Systems,1007393-001,2021-02-04 04:16:57,2021-03-11 04:16:57,15.0,9.0,0.6
PO04588,RS Components Pty Ltd,1007300-001,2020-12-21 02:24:44,2021-01-25 02:24:44,5.0,5.0,1.0
PO04588,RS Components Pty Ltd,1007299-001,2020-12-21 02:24:44,2021-01-25 02:24:44,5.0,5.0,1.0
PO06924,RS Components Pty Ltd,23008,2022-02-06 23:42:58,2022-02-13 23:42:58,1.0,2.0,1.0
PO04943,Open Wiring Systems,1007229-001,2021-03-05 02:42:47,2021-04-09 02:42:47,2.0,2.0,1.0
PO06950,Digi-Key Electronics,1001568-001,2022-02-09 03:53:42,2022-03-02 03:53:42,10.0,10.0,1.0
PO05747,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1003848-001,2021-07-29 05:38:00,2021-09-09 05:38:00,20.0,0.0,0.0
PO04903,Micro Fasteners Pty Ltd,1006315-001,2021-02-28 22:21:49,2021-03-08 22:21:49,500.0,500.0,1.0
PO07132,Seton Australia,24015,2022-03-17 22:46:11,2022-04-21 22:46:11,1.0,1.0,1.0
PO07132,Seton Australia,29000,2022-03-17 22:46:11,2022-04-21 22:46:11,1.0,6.0,1.0
PO05184,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",1003742-002,2021-04-26 05:13:42,2021-05-31 05:13:42,20.0,20.0,1.0
PO07056,Core Electronics ,1008023-001,2022-03-02 23:29:25,2022-03-09 23:29:25,500.0,0.0,0.0
PO06735,New Forge Engineering Pty Ltd,1007687-005,2021-12-22 22:25:40,2022-01-26 22:25:40,10.0,10.0,1.0
PO06735,New Forge Engineering Pty Ltd,1007727-004,2021-12-22 22:25:40,2022-01-26 22:25:40,10.0,10.0,1.0
PO06735,New Forge Engineering Pty Ltd,1008385-001,2021-12-22 22:25:40,2022-01-26 22:25:40,10.0,10.0,1.0
PO05237,Grand Venture Technology,1003968-003,2021-05-03 23:56:27,2021-06-14 23:56:27,20.0,20.0,1.0
PO05237,Grand Venture Technology,1003967-003,2021-05-03 23:56:27,2021-06-14 23:56:27,20.0,20.0,1.0
PO05237,Grand Venture Technology,1003969-003,2021-05-03 23:56:27,2021-06-14 23:56:27,20.0,20.0,1.0
PO06865,Digi-Key Electronics,23008,2022-01-25 05:09:04,2022-02-01 05:09:04,1.0,1001.0,1.0
PO04011,Open Wiring Systems,1006374-001,2020-07-02 03:05:56,2020-08-06 03:05:56,10.0,10.0,1.0
PO04934,FS,1007065-001,2021-03-03 03:14:44,2021-03-31 03:14:44,50.0,50.0,1.0
PO04263,Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),1005754-002,2020-09-29 23:19:48,2020-11-03 23:19:48,100.0,100.0,1.0
PO07338,Mwave.com.au,29000,2022-05-15 23:27:43,2022-06-19 23:27:43,50.0,50.0,1.0
PO07338,Mwave.com.au,24015,2022-05-15 23:27:43,2022-06-19 23:27:43,1.0,1.0,1.0
PO05614,Samec Pty Ltd,1007107-001,2021-07-12 03:03:36,2021-08-16 03:03:36,75.0,75.0,1.0
PO06125,"DJ MODEL & TOOLING CO.,LIMITED",1007745-004,2021-10-01 03:23:35,2021-10-08 03:23:35,15.0,15.0,1.0
PO06125,"DJ MODEL & TOOLING CO.,LIMITED",1007744-004,2021-10-01 03:23:35,2021-10-08 03:23:35,15.0,15.0,1.0
