id,default_code,product_desc,location_name,serial_num,cost,quantity,categ
3008,1001385-009,CMP:MEC:GOKU:MOTOR:STATOR,A3,1001385-009-0000000029,41.906600000000005,10.0,Raw Materials
3067,1003775-002,CON:CMP:MEC:SIL:ORING:4MM:1.2MM,Kanban,,0.8481000000000001,-10.0,Raw Materials
3067,1003775-002,CON:CMP:MEC:SIL:ORING:4MM:1.2MM,Kanban,,0.8481000000000001,10.0,Raw Materials
8488,1007678-003,CMP:MEC:ENG:DIAMOND:BASE_PLATE (copy),D12,1007678-003-0000000007,239.89090000000002,2.0,Raw Materials
2905,1006114-001,BARAJA:LIDAR1:INT:1CH:GOKU6,Stock,1006114-001-0000002426,20293.5782,1.0,Finished Goods
8569,1008143-004,CMP:MEC:ENG:DIAMOND:ENGINE_TUBE:FLEX (copy),Input,1008143-004-0000000005,678.9028000000001,1.0,Raw Materials
3847,1003967-003,SEN:CMP:MEC:BLU:GOKU5:HOUSING:FRONT,Baraja Pty Ltd: Subcontracting Location,1003967-003-0000000004,1180.1133,1.0,Raw Materials
2924,1001569-001,SYS:CMP:ELC:CBL:IEC:US:MAINS,Customer Loan,1001569-001-0000000004,6.010400000000001,1.0,Raw Materials
8342,1007849-002,CMP:MEC:WB:PANEL:MOUNT:4CH:OPT:CONNECTOR (copy) (copy),E4,1007849-002-0000000020,1255.0,1.0,Raw Materials
2905,1006114-001,BARAJA:LIDAR1:INT:1CH:GOKU6,Stock,1006114-001-0000002465,20293.5782,1.0,Finished Goods
2919,1001567-001,SYS:CMP:ELC:CBL:DICEROS:ETH:M12:1M,Customer Loan,1001567-001-0000000013,62.930400000000006,1.0,Raw Materials
3591,1001568-001,SYS:CMP:ELC:PS:24V:90W,Customer Loan,1001568-001-0000000009,61.465900000000005,1.0,Raw Materials
8275,1007843-002,ASY:CBL:DIAMOND:CUSTOMER (copy),Customer Loan,1007843-002-0000000006,97.75,1.0,Raw Materials
7702,1007702-001,ASY:SYS:HYLA:MODULE:BASE_PLATE (copy),Sub Assembly Storage,1007702-001-0000000064,1676.8227000000002,1.0,WIP
7701,1007701-001,ASY:SYS:HYLA:MODULE:TRANSCIEVER_MOTOR (copy),Sub Assembly Storage,1007701-001-0000000064,4917.2441,1.0,WIP
7855,1007855-001,ASY:SYS:LIDAR:SPECTRUM:FLEX:2CH (copy),Customer Loan,1007855-001-0000000018,25330.3096,1.0,Finished Goods
7096,1006293-011,ASY:PCA:PTP:CARRIER (copy),Baraja Pty Ltd: Subcontracting Location,1006293-011-0000000005,250.20350000000002,1.0,Raw Materials
7096,1006293-011,ASY:PCA:PTP:CARRIER (copy),Baraja Pty Ltd: Subcontracting Location,1006293-011-0000000006,250.20350000000002,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000022,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000023,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000024,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000025,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000026,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000027,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000028,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000029,71.893,1.0,Raw Materials
8164,1008164-001,CMP:MEC:HYLA:CLMP:MIR1:TRNSCVR (copy),E5,1008164-001-0000000030,71.893,1.0,Raw Materials
